,BIN,House #,Street Name,Zip_code,Borough,Status,Number of DWT,Activity_Type,Activity_Year,Violation_Code,Law_Section,Violation_Text,Compliance_Year,Date_of_Occurrence,Summons_Number,BBL,Longitude,Latitude,Community_Board,Council_District,Census_Tract,NTA_Code
11578,5015146.0,700,victory boulevard,10301,staten island,active,1.0,self-reported annual inspection,2022.0,0,0,0,2022.0,0,0.0,5005900001.0,-74.092327,40.625672,501.0,49.0,3900.0,si0104
11579,5015146.0,700,victory boulevard,10301,staten island,active,1.0,nyc health department audit,2022.0,0,0,0,2019.0,0,0.0,5005900001.0,-74.092327,40.625672,501.0,49.0,3900.0,si0104
11580,5015146.0,700,victory boulevard,10301,staten island,active,1.0,nyc health department audit,2022.0,0,0,0,2020.0,0,0.0,5005900001.0,-74.092327,40.625672,501.0,49.0,3900.0,si0104
11581,5015146.0,700,victory boulevard,10301,staten island,active,1.0,nyc health department audit,2022.0,0,0,0,2021.0,0,0.0,5005900001.0,-74.092327,40.625672,501.0,49.0,3900.0,si0104
11582,5089353.0,80,bay street landing,10301,staten island,active,1.0,self-reported annual inspection,2022.0,0,0,0,2022.0,0,0.0,5000017501.0,-74.073261,40.640384,501.0,49.0,300.0,si0101
11583,5108502.0,185,st marks place,10301,staten island,active,1.0,self-reported annual inspection,2022.0,0,0,0,2022.0,0,0.0,5000130008.0,-74.080729,40.645358,501.0,49.0,700.0,si0101
11584,5109140.0,35,holland avenue,10303,staten island,active,1.0,self-reported annual inspection,2022.0,0,0,0,2022.0,0,0.0,5012720011.0,-74.171252,40.639476,501.0,49.0,31902.0,si0107
11585,5112687.0,55,holland avenue,10303,staten island,active,1.0,self-reported annual inspection,2022.0,0,0,0,2022.0,0,0.0,5012720011.0,-74.171244,40.638993,501.0,49.0,31902.0,si0107
11586,5164494.0,55,richmond terrace,10301,staten island,active,1.0,self-reported annual inspection,2022.0,0,0,0,2022.0,0,0.0,5000020015.0,-74.076584,40.64412,501.0,49.0,300.0,si0101
