,BIN,House #,Street Name,Zip_code,Borough,Status,Number of DWT,Activity_Type,Activity_Year,Violation_Code,Law_Section,Violation_Text,Compliance_Year,Date_of_Occurrence,Summons_Number,BBL,Longitude,Latitude,Community_Board,Council_District,Census_Tract,NTA_Code
556,4083254.0,680,fairview avenue,11385,queens,active,1.0,nyc health department audit & inspection,2022.0,ah7e,nychc 141.07(c),failure to provide results of drinking water tank inspection within five business days after receipt of department’s request,2021.0,11/30/2022,871281061.0,4034780031.0,-73.905058,40.706235,405.0,30.0,58900.0,qn0502
594,4443488.0,140-11,45 avenue,11355,queens,active,1.0,self-reported annual inspection,2022.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2022.0,02/10/2023,871287369.0,4051920001.0,-73.820618,40.752403,407.0,20.0,85900.0,qn0707
908,4050128.0,92-29,queens boulevard,11374,queens,active,1.0,self-reported annual inspection,2022.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2022.0,02/10/2023,871292263.0,4020757501.0,-73.867651,40.732399,406.0,24.0,71702.0,qn0601
909,4050412.0,61-15,97 street,11374,queens,active,1.0,self-reported annual inspection,2022.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2022.0,02/10/2023,871292272.0,4020820107.0,-73.862434,40.733991,406.0,24.0,71702.0,qn0601
910,4052342.0,70-31,108 street,11375,queens,active,1.0,self-reported annual inspection,2022.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2022.0,02/10/2023,871292281.0,4022230001.0,-73.843966,40.721992,406.0,29.0,73900.0,qn0602
912,4052716.0,72-35,112 street,11375,queens,active,1.0,self-reported annual inspection,2022.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2022.0,02/10/2023,871292300.0,4022500001.0,-73.83815,40.720713,406.0,29.0,75701.0,qn0602
914,4064886.0,87-14,57 road,11373,queens,active,1.0,self-reported annual inspection,2022.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2022.0,02/10/2023,871292328.0,4028587501.0,-73.87417,40.73306,404.0,30.0,47500.0,qn0401
916,4115368.0,133-24,sanford avenue,11355,queens,active,1.0,self-reported annual inspection,2022.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2022.0,02/10/2023,871292346.0,4051210017.0,-73.830434,40.755884,407.0,20.0,84902.0,qn0707
917,4206784.0,90-27,sutphin blvd,11435,queens,active,1.0,self-reported annual inspection,2022.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2022.0,02/10/2023,871292355.0,4096770007.0,-73.808148,40.70234,412.0,27.0,24000.0,qn1201
919,4431952.0,97-40,62 drive,11374,queens,active,2.0,self-reported annual inspection,2022.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2022.0,02/10/2023,871292373.0,4020860050.0,-73.860517,40.732805,406.0,24.0,71701.0,qn0601
