,BIN,House #,Street Name,Zip_code,Borough,Status,Number of DWT,Activity_Type,Activity_Year,Violation_Code,Law_Section,Violation_Text,Compliance_Year,Date_of_Occurrence,Summons_Number,BBL,Longitude,Latitude,Community_Board,Council_District,Census_Tract,NTA_Code
640,3396962.0,138,willoughby street,11201,brooklyn,active,5.0,nyc health department audit,2024.0,0,0,0,2020.0,0,0.0,3001497502.0,-73.983135,40.692069,302.0,33.0,1502.0,bk0202
663,3396962.0,138,willoughby street,11201,brooklyn,active,5.0,nyc health department audit,2024.0,0,0,0,2021.0,0,0.0,3001497502.0,-73.983135,40.692069,302.0,33.0,1502.0,bk0202
686,3396962.0,138,willoughby street,11201,brooklyn,active,5.0,nyc health department audit,2024.0,0,0,0,2022.0,0,0.0,3001497502.0,-73.983135,40.692069,302.0,33.0,1502.0,bk0202
709,3396962.0,138,willoughby street,11201,brooklyn,active,5.0,nyc health department audit,2024.0,0,0,0,2023.0,0,0.0,3001497502.0,-73.983135,40.692069,302.0,33.0,1502.0,bk0202
732,3396962.0,138,willoughby street,11201,brooklyn,active,5.0,nyc health department audit,2024.0,0,0,0,2024.0,0,0.0,3001497502.0,-73.983135,40.692069,302.0,33.0,1502.0,bk0202
