,BIN,House #,Street Name,Zip_code,Borough,Status,Number of DWT,Activity_Type,Activity_Year,Violation_Code,Law_Section,Violation_Text,Compliance_Year,Date_of_Occurrence,Summons_Number,BBL,Longitude,Latitude,Community_Board,Council_District,Census_Tract,NTA_Code
985,3137572.0,950,49th street,11219,brooklyn,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2019.0,12/29/2023,871302439.0,3056380019.0,-73.999816,40.639666,312.0,38.0,11400.0,bk1201
986,3137572.0,950,49th street,11219,brooklyn,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2021.0,12/29/2023,871302448.0,3056380019.0,-73.999816,40.639666,312.0,38.0,11400.0,bk1201
987,3137572.0,950,49th street,11219,brooklyn,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2022.0,12/29/2023,871302457.0,3056380019.0,-73.999816,40.639666,312.0,38.0,11400.0,bk1201
988,3025610.0,501,6th street,11215,brooklyn,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2020.0,12/29/2023,871302466.0,3010840164.0,-73.979031,40.668213,306.0,39.0,15300.0,bk0602
989,3025610.0,501,6th street,11215,brooklyn,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2022.0,12/29/2023,871302475.0,3010840164.0,-73.979031,40.668213,306.0,39.0,15300.0,bk0602
990,3025610.0,501,6th street,11215,brooklyn,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2021.0,12/29/2023,871302484.0,3010840164.0,-73.979031,40.668213,306.0,39.0,15300.0,bk0602
1018,3336293.0,948,48th st,11219,brooklyn,active,2.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2022.0,12/26/2023,871302942.0,3056310038.0,-73.999261,40.640243,312.0,38.0,11400.0,bk1201
1020,3336293.0,948,48th st,11219,brooklyn,active,2.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2021.0,12/26/2023,871302960.0,3056310038.0,-73.999261,40.640243,312.0,38.0,11400.0,bk1201
1021,3336293.0,948,48th st,11219,brooklyn,active,2.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2020.0,12/26/2023,871302970.0,3056310038.0,-73.999261,40.640243,312.0,38.0,11400.0,bk1201
1022,3002555.0,111,livingston street,11201,brooklyn,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2021.0,01/03/2024,871302989.0,3002660001.0,-73.989791,40.691136,302.0,33.0,900.0,bk0201
1023,3002555.0,111,livingston street,11201,brooklyn,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2020.0,01/03/2024,871302998.0,3002660001.0,-73.989791,40.691136,302.0,33.0,900.0,bk0201
1025,3002555.0,111,livingston street,11201,brooklyn,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2022.0,01/03/2024,871303016.0,3002660001.0,-73.989791,40.691136,302.0,33.0,900.0,bk0201
1030,3000484.0,180,livingston street,11201,brooklyn,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2020.0,01/03/2024,871303061.0,3001647501.0,-73.986838,40.690052,302.0,33.0,3700.0,bk0202
1033,3000484.0,180,livingston street,11201,brooklyn,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2021.0,01/03/2024,871303099.0,3001647501.0,-73.986838,40.690052,302.0,33.0,3700.0,bk0202
1037,3000484.0,180,livingston street,11201,brooklyn,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2022.0,01/03/2024,871303135.0,3001647501.0,-73.986838,40.690052,302.0,33.0,3700.0,bk0202
1039,3000484.0,180,livingston street,11201,brooklyn,active,1.0,nyc health department inspection,2023.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2019.0,01/02/2024,871303153.0,3001647501.0,-73.986838,40.690052,302.0,33.0,3700.0,bk0202
1064,3002009.0,185,montague street,11201,brooklyn,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2020.0,01/03/2024,871303429.0,3002440013.0,-73.991832,40.69412,302.0,33.0,900.0,bk0201
1065,3002009.0,185,montague street,11201,brooklyn,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2022.0,01/03/2024,871303438.0,3002440013.0,-73.991832,40.69412,302.0,33.0,900.0,bk0201
1066,3002009.0,185,montague street,11201,brooklyn,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2021.0,01/03/2024,871303447.0,3002440013.0,-73.991832,40.69412,302.0,33.0,900.0,bk0201
1067,3002548.0,186,joralemon street,11201,brooklyn,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2020.0,01/03/2024,871303456.0,3002650040.0,-73.991843,40.692662,302.0,33.0,900.0,bk0201
1068,3002548.0,186,joralemon street,11201,brooklyn,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2022.0,01/03/2024,871303465.0,3002650040.0,-73.991843,40.692662,302.0,33.0,900.0,bk0201
1069,3002548.0,186,joralemon street,11201,brooklyn,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2021.0,01/03/2024,871303474.0,3002650040.0,-73.991843,40.692662,302.0,33.0,900.0,bk0201
1111,3000261.0,375,pearl street,11201,brooklyn,active,1.0,self-reported annual inspection,2023.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2023.0,02/26/2024,871304840.0,3001400106.0,-73.988154,40.692868,302.0,33.0,1100.0,bk0202
1115,3024923.0,140,8th ave,11215,brooklyn,active,1.0,self-reported annual inspection,2023.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2023.0,02/26/2024,871304886.0,3010710004.0,-73.974275,40.671695,306.0,39.0,15700.0,bk0602
1346,3107316.0,636,brooklyn avenue,11203,brooklyn,active,1.0,self-reported annual inspection,2023.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2023.0,02/26/2024,871307232.0,3048150037.0,-73.94522,40.658513,309.0,40.0,81000.0,bk0902
1348,3117133.0,630,ocean avenue,11226,brooklyn,active,1.0,self-reported annual inspection,2023.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2023.0,02/26/2024,871307250.0,3051000074.0,-73.960544,40.647565,314.0,40.0,51002.0,bk1401
1349,3000484.0,180,livingston street,11201,brooklyn,active,1.0,self-reported annual inspection,2023.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2023.0,02/26/2024,871307260.0,3001647501.0,-73.986838,40.690052,302.0,33.0,3700.0,bk0202
1350,3189628.0,3045,west 29 street,11224,brooklyn,active,1.0,self-reported annual inspection,2023.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2023.0,02/26/2024,871307279.0,3070680030.0,-73.994802,40.572169,313.0,47.0,34000.0,bk1302
