,BIN,House #,Street Name,Zip_code,Borough,Status,Number of DWT,Activity_Type,Activity_Year,Violation_Code,Law_Section,Violation_Text,Compliance_Year,Date_of_Occurrence,Summons_Number,BBL,Longitude,Latitude,Community_Board,Council_District,Census_Tract,NTA_Code
956,1035460.0,18,east 50th street,10022,manhattan,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2020.0,12/27/2023,871302118.0,1012850059.0,-73.97627,40.758136,105.0,4.0,10200.0,mn0502
960,1035460.0,18,east 50th street,10022,manhattan,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2021.0,12/27/2023,871302172.0,1012850059.0,-73.97627,40.758136,105.0,4.0,10200.0,mn0502
962,1035460.0,18,east 50th street,10022,manhattan,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2022.0,12/27/2023,871302190.0,1012850059.0,-73.97627,40.758136,105.0,4.0,10200.0,mn0502
963,1015447.0,15,west 18th street,10011,manhattan,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2020.0,12/27/2023,871302200.0,1008200029.0,-73.992599,40.738851,105.0,3.0,5400.0,mn0501
964,1015447.0,15,west 18th street,10011,manhattan,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2021.0,12/27/2023,871302219.0,1008200029.0,-73.992599,40.738851,105.0,3.0,5400.0,mn0501
965,1015447.0,15,west 18th street,10011,manhattan,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2022.0,12/27/2023,871302228.0,1008200029.0,-73.992599,40.738851,105.0,3.0,5400.0,mn0501
966,1014744.0,143,west 20th street,10011,manhattan,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2020.0,12/29/2023,871302246.0,1007960013.0,-73.995933,40.741786,104.0,3.0,8700.0,mn0401
967,1014744.0,143,west 20th street,10011,manhattan,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2021.0,12/29/2023,871302255.0,1007960013.0,-73.995933,40.741786,104.0,3.0,8700.0,mn0401
968,1014744.0,143,west 20th street,10011,manhattan,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2022.0,12/29/2023,871302264.0,1007960013.0,-73.995933,40.741786,104.0,3.0,8700.0,mn0401
969,1008808.0,82,washington square east,10003,manhattan,active,1.0,nyc health department inspection,2023.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2022.0,01/02/2024,871302273.0,1005460005.0,-73.996251,40.72992,102.0,2.0,5900.0,mn0202
