,BIN,House #,Street Name,Zip_code,Borough,Status,Number of DWT,Activity_Type,Activity_Year,Violation_Code,Law_Section,Violation_Text,Compliance_Year,Date_of_Occurrence,Summons_Number,BBL,Longitude,Latitude,Community_Board,Council_District,Census_Tract,NTA_Code
38,4077480.0,107-15,70 road,11375,queens,active,1.0,self-reported annual inspection,2021.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2021.0,01/24/2022,871262646.0,4032380014.0,-73.845476,40.721247,406.0,29.0,71100.0,qn0602
420,4045404.0,87-08,justice avenue,11373,queens,active,1.0,self-reported annual inspection,2021.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2021.0,01/24/2022,871267091.0,4018427501.0,-73.876222,40.737456,404.0,25.0,47300.0,qn0401
421,4052716.0,72-35,112 street,11375,queens,active,1.0,self-reported annual inspection,2021.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2021.0,01/24/2022,871267110.0,4022500001.0,-73.83815,40.720713,406.0,29.0,75701.0,qn0602
422,4079257.0,83-10,118 street,11415,queens,active,1.0,self-reported annual inspection,2021.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2021.0,01/24/2022,871267129.0,4033210018.0,-73.834829,40.706718,409.0,29.0,13400.0,qn0901
423,4206784.0,90-27,sutphin blvd,11435,queens,active,1.0,self-reported annual inspection,2021.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2021.0,01/24/2022,871267138.0,4096770007.0,-73.808148,40.70234,412.0,27.0,24000.0,qn1201
424,4210068.0,88-05,merrick blvd,11432,queens,active,1.0,self-reported annual inspection,2021.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2021.0,01/24/2022,871267147.0,4098170006.0,-73.79579,40.708632,412.0,24.0,46000.0,qn1201
425,4210618.0,172-90,highland avenue,11432,queens,active,1.0,self-reported annual inspection,2021.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2021.0,01/24/2022,871267156.0,4098450086.0,-73.787962,40.713561,408.0,24.0,46600.0,qn0804
426,4309412.0,133-36,41 road,11355,queens,active,1.0,self-reported annual inspection,2021.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2021.0,01/24/2022,871267165.0,4050427501.0,-73.830442,40.7569,407.0,20.0,84902.0,qn0707
427,4431952.0,97-40,62 drive,11374,queens,active,2.0,self-reported annual inspection,2021.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2021.0,01/24/2022,871267174.0,4020860050.0,-73.860517,40.732805,406.0,24.0,71701.0,qn0601
429,4433427.0,213-02,42 avenue,11361,queens,active,1.0,self-reported annual inspection,2021.0,ah7a,24rcny 31-02(a),failure to submit report of previous year’s inspection results by january 15 of the following year,2021.0,01/24/2022,871267192.0,4062847501.0,-73.771287,40.762578,411.0,19.0,146700.0,qn1102
