,BIN,House #,Street Name,Zip_code,Borough,Status,Number of DWT,Activity_Type,Activity_Year,Violation_Code,Law_Section,Violation_Text,Compliance_Year,Date_of_Occurrence,Summons_Number,BBL,Longitude,Latitude,Community_Board,Council_District,Census_Tract,NTA_Code
6062,3105176.0,660,east   98 street,11236,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3047570001.0,-73.910287,40.653644,317.0,42.0,92800.0,bk1704
6063,3106612.0,728,east new york avenue,11203,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3047950016.0,-73.938667,40.662306,309.0,40.0,87401.0,bk0902
6064,3107316.0,636,brooklyn avenue,11203,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3048150037.0,-73.94522,40.658513,309.0,40.0,81000.0,bk0902
6065,3114603.0,580,flatbush avenue,11225,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3050260100.0,-73.960577,40.659576,309.0,40.0,79802.0,bk0902
6066,3114604.0,590,flatbush avenue,11225,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3050260132.0,-73.960552,40.659126,309.0,40.0,79802.0,bk0902
6067,3115913.0,160,parkside avenue,11226,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3050530018.0,-73.962911,40.654469,314.0,40.0,50804.0,bk1401
6068,3116130.0,416,ocean avenue,11226,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3050610040.0,-73.961521,40.652714,314.0,40.0,50804.0,bk1401
6069,3116307.0,10,stratford road,11218,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3050710006.0,-73.969599,40.648462,314.0,40.0,50600.0,bk1402
6070,3117135.0,65,east   19 street,11226,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3051000091.0,-73.961827,40.647991,314.0,40.0,51002.0,bk1401
6071,3117392.0,2417,albemarle road,11226,brooklyn,not active,0.0,other,2021.0,0,0,0,2021.0,0,0.0,3051100068.0,-73.954428,40.647936,317.0,40.0,79400.0,bk1701
6072,3121396.0,1169,ocean avenue,11230,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3052410018.0,-73.957922,40.633876,314.0,45.0,76600.0,bk1401
6073,3124635.0,303,beverley road,11218,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3053360082.0,-73.977169,40.642974,312.0,39.0,48800.0,bk1203
6074,3125490.0,615,avenue c,11218,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3053580041.0,-73.973091,40.640981,312.0,39.0,49400.0,bk1203
6075,3126159.0,370,ocean parkway,11218,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3053740021.0,-73.973462,40.639913,312.0,39.0,48800.0,bk1203
6076,3126839.0,455,ocean parkway,11218,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3053900074.0,-73.972966,40.637415,312.0,39.0,49000.0,bk1203
6077,3131068.0,1170,ocean parkway,11230,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3054951018.0,-73.969713,40.620125,312.0,44.0,44800.0,bk1204
6078,3144193.0,260,65 street,11220,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3058250001.0,-74.024426,40.639829,310.0,47.0,2200.0,bk0702
6079,3144194.0,350,65 street,11220,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3058260001.0,-74.022455,40.638643,310.0,47.0,7000.0,bk1001
6080,3153886.0,8901,shore road,11209,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3060580012.0,-74.040648,40.62316,310.0,47.0,5000.0,bk1001
6081,3155318.0,9201,4 avenue,11209,brooklyn,not active,0.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3061080022.0,-74.03021,40.618226,310.0,47.0,5800.0,bk1001
6082,3155318.0,9201,4 avenue,11209,brooklyn,not active,0.0,nyc health department audit,2021.0,0,0,0,2019.0,0,0.0,3061080022.0,-74.03021,40.618226,310.0,47.0,5800.0,bk1001
6083,3155318.0,9201,4 avenue,11209,brooklyn,not active,0.0,nyc health department audit,2021.0,0,0,0,2020.0,0,0.0,3061080022.0,-74.03021,40.618226,310.0,47.0,5800.0,bk1001
6084,3168773.0,8800,20 avenue,11214,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3064410001.0,-74.002355,40.600666,311.0,47.0,28200.0,bk1102
6085,3170043.0,8855,bay parkway,11214,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3064710090.0,-73.999125,40.596812,311.0,47.0,29400.0,bk1103
6086,3170453.0,530,elmwood avenue,11230,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3065080006.0,-73.971057,40.627218,312.0,40.0,46201.0,bk1402
6087,3170453.0,530,elmwood avenue,11230,brooklyn,active,1.0,nyc health department audit,2021.0,0,0,0,2019.0,0,0.0,3065080006.0,-73.971057,40.627218,312.0,40.0,46201.0,bk1402
6088,3170453.0,530,elmwood avenue,11230,brooklyn,active,1.0,nyc health department audit,2021.0,0,0,0,2020.0,0,0.0,3065080006.0,-73.971057,40.627218,312.0,40.0,46201.0,bk1402
6089,3172890.0,1360,ocean parkway,11230,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3065680033.0,-73.968858,40.615623,312.0,44.0,44400.0,bk1204
6090,3180726.0,1740,ocean avenue,11230,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3067390019.0,-73.955251,40.619626,314.0,44.0,53800.0,bk1403
6091,3184124.0,2350,ocean avenue,11229,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3068250037.0,-73.952409,40.604586,315.0,48.0,56000.0,bk1502
6092,3187596.0,2424,cropsey avenue,11214,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3069270060.0,-73.994804,40.593993,311.0,47.0,30400.0,bk1103
6093,3187689.0,2652,cropsey avenue,11214,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3069350001.0,-73.990408,40.588967,313.0,47.0,31401.0,bk1301
6094,3188894.0,2832,west 23 street,11224,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3070150015.0,-73.990378,40.57762,313.0,47.0,32600.0,bk1302
6095,3189511.0,2950,west 35 street,11224,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3070460022.0,-74.000493,40.573838,313.0,47.0,34200.0,bk1302
6096,3189543.0,2945,west 23 street,11224,brooklyn,active,2.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3070570012.0,-73.989885,40.575103,313.0,47.0,32600.0,bk1302
6097,3189556.0,2007,surf avenue,11224,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3070590026.0,-73.986991,40.574792,313.0,47.0,32600.0,bk1302
6098,3189628.0,3045,west 29 street,11224,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3070680030.0,-73.994802,40.572169,313.0,47.0,34000.0,bk1302
6099,3196066.0,2650,ocean parkway,11235,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3072380115.0,-73.966438,40.585466,313.0,47.0,37401.0,bk1301
6100,3196576.0,2940,west    5 street,11224,brooklyn,not active,0.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3072730050.0,-73.97253,40.577628,313.0,48.0,35400.0,bk1302
6101,3196577.0,2944,west 5 street,11224,brooklyn,active,2.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3072730050.0,-73.97253,40.577628,313.0,48.0,35400.0,bk1302
6102,3196582.0,2940,ocean parkway,11235,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3072740020.0,-73.967838,40.579373,313.0,48.0,35602.0,bk1302
6103,3196585.0,3000,ocean parkway,11235,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3072740035.0,-73.968383,40.576998,313.0,48.0,35602.0,bk1302
6104,3196586.0,2915,west    5 street,11224,brooklyn,active,2.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3072740060.0,-73.972115,40.578874,313.0,48.0,35602.0,bk1302
6105,3205952.0,3215,avenue h,11210,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3075600001.0,-73.945371,40.631801,317.0,45.0,78602.0,bk1702
6106,3206459.0,1655,flatbush avenue,11210,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3075790010.0,-73.944757,40.630096,318.0,45.0,77600.0,bk1801
6107,3245026.0,40,brighton first road,11235,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3086800001.0,-73.966562,40.57579,313.0,48.0,36001.0,bk1303
6108,3245104.0,500,brightwater court,11235,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3086900091.0,-73.962217,40.575745,313.0,48.0,36002.0,bk1303
6109,3245130.0,3161,brighton   6 street,11235,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3086930012.0,-73.961105,40.575657,313.0,48.0,36002.0,bk1303
6110,3245696.0,65,oriental blvd,11235,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3087190038.0,-73.953411,40.576831,315.0,48.0,61004.0,bk1303
6111,3245725.0,35,seacoast terrace,11235,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3087210360.0,-73.956648,40.576259,313.0,48.0,61002.0,bk1303
6112,3245726.0,1311,brightwater avenue,11235,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3087210375.0,-73.955388,40.575682,313.0,48.0,61002.0,bk1303
6113,3247163.0,4750,bedford avenue,11235,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3087820034.0,-73.944023,40.586077,315.0,48.0,60000.0,bk1503
6114,3251647.0,100,north portland avenue,11205,brooklyn,active,2.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3020390101.0,-73.976232,40.695268,302.0,35.0,2901.0,bk0203
6115,3251647.0,100,north portland avenue,11205,brooklyn,active,2.0,nyc health department audit & inspection,2021.0,0,0,0,2019.0,0,0.0,3020390101.0,-73.976232,40.695268,302.0,35.0,2901.0,bk0203
6116,3251647.0,100,north portland avenue,11205,brooklyn,active,2.0,nyc health department audit & inspection,2021.0,0,0,0,2020.0,0,0.0,3020390101.0,-73.976232,40.695268,302.0,35.0,2901.0,bk0203
6117,3251969.0,10,amboy street,11212,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3034940010.0,-73.914821,40.670286,316.0,41.0,90200.0,bk1602
6118,3255603.0,2,metrotech center,11201,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3001480007.0,-73.985695,40.693727,302.0,33.0,1100.0,bk0202
6119,3256787.0,420,64 street,11220,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3058187501.0,-74.02008,40.638152,307.0,38.0,12200.0,bk0703
6120,3256798.0,115,96 street,11209,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3061207501.0,-74.037377,40.61608,310.0,47.0,5400.0,bk1001
6121,3257105.0,2790,west 5 street,11224,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3072500001.0,-73.971675,40.58034,313.0,47.0,35400.0,bk1302
6122,3259642.0,2828,west 28 street,11224,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3070110011.0,-73.9946,40.57703,313.0,47.0,32800.0,bk1302
6123,3319418.0,351,jay street,11201,brooklyn,active,4.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3001470004.0,-73.987227,40.693463,302.0,33.0,1100.0,bk0202
6124,3319505.0,4,metrotech,11201,brooklyn,active,4.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3020590001.0,-73.98369,40.693652,302.0,33.0,1502.0,bk0202
6125,3319931.0,2955,shell road,11224,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3072697501.0,-73.97615,40.580533,313.0,47.0,34800.0,bk1302
6126,3320628.0,601,surf avenue,11224,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3072797501.0,-73.975788,40.5752,313.0,48.0,35400.0,bk1302
6127,3320736.0,2765,west 5 street,11224,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3072530001.0,-73.971538,40.580708,313.0,48.0,35601.0,bk1302
6128,3320750.0,2814,west 8 street,11224,brooklyn,active,2.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3072680001.0,-73.97628,40.579117,313.0,48.0,35000.0,bk1302
6129,3321111.0,2740,cropsey ave,11214,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3069370048.0,-73.989184,40.587446,313.0,47.0,31401.0,bk1301
6130,3321615.0,2839,west 33 stree,11224,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3070070001.0,-73.999849,40.576306,313.0,47.0,32800.0,bk1302
6131,3321766.0,2951-53,west 33 street,11224,brooklyn,active,2.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3070480015.0,-73.999327,40.573698,313.0,47.0,34200.0,bk1302
6132,3321771.0,2940,west 31 street,11224,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3070490015.0,-73.997372,40.57448,313.0,47.0,34200.0,bk1302
6133,3321834.0,2930,west 30 street,11224,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3070500001.0,-73.996127,40.573621,313.0,47.0,34200.0,bk1302
6134,3321866.0,456,de kalb avenue,11205,brooklyn,active,2.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3019380001.0,-73.958928,40.690498,303.0,36.0,23300.0,bk0301
6135,3321875.0,345,clinton avenue,11238,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3019440004.0,-73.967689,40.687542,302.0,35.0,19700.0,bk0204
6136,3322005.0,2930,west 28 street,11224,brooklyn,not active,0.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3070520014.0,-73.994186,40.574842,313.0,47.0,34200.0,bk1302
6137,3322037.0,105,ashland place,11201,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3020680001.0,-73.979103,40.693119,302.0,35.0,3101.0,bk0203
6138,3322042.0,3020,surf avenue,11224,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3070670001.0,-73.996404,40.572765,313.0,47.0,34000.0,bk1302
6139,3322051.0,3031,west 25 street,11224,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3070700001.0,-73.991613,40.572833,313.0,47.0,35200.0,bk1302
6140,3322157.0,2250,west 11 street,11223,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3071370001.0,-73.981572,40.592702,313.0,47.0,38200.0,bk1301
6141,3322379.0,201,clinton avenue,11205,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3019020001.0,-73.968566,40.691961,302.0,35.0,19500.0,bk0204
6142,3323171.0,541,wythe avenue,11249,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3021660001.0,-73.966875,40.705937,301.0,34.0,54500.0,bk0103
6143,3323300.0,198,bond street,11217,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3003920001.0,-73.987413,40.683171,306.0,39.0,7100.0,bk0601
6144,3323704.0,82,dwight street,11231,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3005570001.0,-74.008908,40.676142,306.0,38.0,8500.0,bk0601
6145,3324011.0,875,pennsylvania avenue,11207,brooklyn,active,2.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3043690001.0,-73.888961,40.656383,305.0,42.0,110400.0,bk0503
6146,3324228.0,207,prospect park southwest,11218,brooklyn,active,1.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3052877501.0,-73.972585,40.652256,307.0,39.0,50401.0,bk0701
6147,3324250.0,921,myrtle avenue,11206,brooklyn,active,2.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3017400001.0,-73.944879,40.695886,303.0,36.0,25902.0,bk0301
6148,3324263.0,12205,flatlands avenue,11207,brooklyn,active,2.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3044157501.0,-73.883643,40.653902,305.0,42.0,107800.0,bk0503
6149,3324270.0,12399,flatlands avenue,11207,brooklyn,active,2.0,self-reported annual inspection,2021.0,0,0,0,2021.0,0,0.0,3044237501.0,-73.87635,40.657029,305.0,42.0,107800.0,bk0503
