,BIN,House #,Street Name,Zip_code,Borough,Status,Number of DWT,Activity_Type,Activity_Year,Violation_Code,Law_Section,Violation_Text,Compliance_Year,Date_of_Occurrence,Summons_Number,BBL,Longitude,Latitude,Community_Board,Council_District,Census_Tract,NTA_Code
0,1088961.0,20,hudson yards,10001,manhattan,active,3.0,nyc health department audit,2021.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2019.0,12/27/2021,871261142.0,1007027501.0,-73.99983,40.753992,104.0,3.0,9903.0,mn0401
1,1088961.0,20,hudson yards,10001,manhattan,active,3.0,nyc health department audit,2021.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2020.0,12/27/2021,871261151.0,1007027501.0,-73.99983,40.753992,104.0,3.0,9903.0,mn0401
2,1089722.0,555,10 avenue,10036,manhattan,active,1.0,nyc health department audit,2021.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2020.0,12/27/2021,871261160.0,1010697501.0,-73.996105,40.758778,104.0,3.0,11700.0,mn0401
3,1089722.0,555,10 avenue,10036,manhattan,active,1.0,nyc health department audit,2021.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2019.0,12/27/2021,871261170.0,1010697501.0,-73.996105,40.758778,104.0,3.0,11700.0,mn0401
4,1089862.0,509,west 29 street,10001,manhattan,active,2.0,nyc health department audit,2021.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2020.0,12/27/2021,871261189.0,1007017502.0,-74.001159,40.752125,104.0,3.0,9902.0,mn0401
5,1089862.0,509,west 29 street,10001,manhattan,active,2.0,nyc health department audit,2021.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2019.0,12/27/2021,871261198.0,1007017502.0,-74.001159,40.752125,104.0,3.0,9902.0,mn0401
6,1022568.0,1450,broadway,10018,manhattan,active,2.0,nyc health department audit,2021.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2019.0,12/27/2021,871261207.0,1009930047.0,-73.98666,40.754927,105.0,4.0,11300.0,mn0502
7,1015808.0,31,west   31 street,10001,manhattan,active,1.0,nyc health department audit,2021.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2020.0,12/27/2021,871261216.0,1008330022.0,-73.987329,40.747132,105.0,3.0,7600.0,mn0501
8,1015808.0,31,west   31 street,10001,manhattan,active,1.0,nyc health department audit,2021.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2019.0,12/27/2021,871261225.0,1008330022.0,-73.987329,40.747132,105.0,3.0,7600.0,mn0501
10,1051486.0,1200,5 avenue,10029,manhattan,active,1.0,nyc health department audit,2021.0,ah7d,nychc 141.07(b),"failure to inspect drinking water tank, including testing water for bacteriological content.",2019.0,12/27/2021,871261243.0,1016077501.0,-73.953388,40.791138,111.0,8.0,16800.0,mn1101
